id;annee;date_debut;date_fin;commentaire
1;24776;2020-11-20T01:37:45;2020-11-19T12:31:33;Sri Lanka
2;18570;2020-11-19T18:03:37;2020-11-19T18:53:52;generate
3;9997;2020-11-20T11:23:39;2020-11-20T00:22:09;Solutions Cambridgeshire
4;73575;2020-11-19T18:59:11;2020-11-20T11:38:33;Yemen
5;2399;2020-11-19T19:59:25;2020-11-19T23:18:45;Connecticut calculating
6;22369;2020-11-20T05:23:41;2020-11-19T16:36:44;matrix override
7;10073;2020-11-19T17:26:42;2020-11-19T22:20:10;International JBOD Rustic
8;20648;2020-11-19T18:41:17;2020-11-19T14:50:12;New Leu
9;49284;2020-11-20T01:28:29;2020-11-19T15:05:44;Taka proactive
10;20884;2020-11-20T07:17:39;2020-11-19T13:18:41;Licensed
